department,balanced_communes,ever_full_share,exposure_share_observable,lambda_immediate_escape,non_escape_share,delta_deepen_given_immediate_repeat,persistent_share_3plus,minimal_law_prediction,exposure_only_prediction,persistent_count,observable_exposed_count,immediate_repeat_count,persistent_among_immediate_repeat_count,median_commune_price_per_m2,total_transactions,minimal_abs_error,exposure_only_abs_error,minimal_beats_exposure_only
86,218,0.44954128440366975,0.41743119266055045,0.6263736263736264,0.37362637362637363,0.8235294117647058,0.17889908256880735,0.12844036697247707,0.41743119266055045,39,91,34,28,1266.877896722858,43612,0.05045871559633028,0.2385321100917431,True
87,167,0.437125748502994,0.4251497005988024,0.619718309859155,0.38028169014084506,0.5185185185185185,0.1437125748502994,0.08383233532934131,0.4251497005988024,24,71,27,14,1296.590909090909,41734,0.059880239520958084,0.281437125748503,True
88,192,0.40625,0.3697916666666667,0.6056338028169015,0.39436619718309857,0.8928571428571429,0.17708333333333334,0.13020833333333334,0.3697916666666667,34,71,28,25,1422.4759615384614,33849,0.046875,0.19270833333333334,True
89,266,0.4473684210526316,0.40977443609022557,0.5963302752293578,0.4036697247706422,0.7727272727272727,0.17669172932330826,0.12781954887218047,0.40977443609022557,47,109,44,34,1377.900477952513,39317,0.04887218045112779,0.2330827067669173,True
90,53,0.5283018867924528,0.4339622641509434,0.7391304347826086,0.2608695652173913,0.8333333333333334,0.11320754716981132,0.09433962264150944,0.4339622641509434,6,23,6,5,1744.186046511628,11562,0.018867924528301883,0.3207547169811321,True
91,171,0.3567251461988304,0.32748538011695905,0.4464285714285714,0.5535714285714286,0.967741935483871,0.19883040935672514,0.17543859649122806,0.32748538011695905,34,56,31,30,3259.74025974026,96481,0.023391812865497075,0.1286549707602339,True
92,36,0.3055555555555556,0.3055555555555556,0.36363636363636365,0.6363636363636364,1.0,0.19444444444444445,0.19444444444444445,0.3055555555555556,7,11,7,7,6786.144094993582,127948,0.0,0.11111111111111113,True
93,39,0.3076923076923077,0.2564102564102564,0.19999999999999996,0.8,1.0,0.20512820512820512,0.20512820512820512,0.2564102564102564,8,10,8,8,4161.764705882353,107310,0.0,0.051282051282051266,True
94,47,0.3191489361702128,0.3191489361702128,0.2666666666666667,0.7333333333333333,0.6363636363636364,0.19148936170212766,0.14893617021276595,0.3191489361702128,9,15,11,7,4600.0,98401,0.04255319148936171,0.12765957446808512,True
95,146,0.3972602739726027,0.3835616438356164,0.5357142857142857,0.4642857142857143,0.8461538461538461,0.18493150684931506,0.1506849315068493,0.3835616438356164,27,56,26,22,3444.097222222222,85298,0.03424657534246575,0.19863013698630136,True
972,30,0.43333333333333335,0.36666666666666664,0.7272727272727273,0.2727272727272727,0.6666666666666666,0.16666666666666666,0.06666666666666665,0.36666666666666664,5,11,3,2,2950.938700938701,15956,0.1,0.19999999999999998,True
